v(v_in),v(out),v(c1),v(c2),v(tail)
2.820000000000001950e-01,5.012999832802963446e-08,4.999999907298580126e+00,3.137282227715405991e+00,1.868893565672748114e+00
2.840000000000001967e-01,5.012999832808548570e-08,4.999999907307979718e+00,3.137282227734050188e+00,1.868893565672994361e+00
2.860000000000001985e-01,5.012999832814133032e-08,4.999999907317380199e+00,3.137282227729872197e+00,1.868893565672950174e+00
2.880000000000002003e-01,5.012999832819718817e-08,4.999999907326780679e+00,3.137282227763636300e+00,1.868893565673418466e+00
2.900000000000002021e-01,5.012999832825303940e-08,4.999999907336180271e+00,3.137282227748203756e+00,1.868893565673230173e+00
2.920000000000002038e-01,5.012999832830887740e-08,4.999999907345578976e+00,3.137282227739421891e+00,1.868893565673079182e+00
2.940000000000002056e-01,5.012999832836474187e-08,4.999999907354980344e+00,3.137282227802033585e+00,1.868893565673964252e+00
2.960000000000002074e-01,5.012999832842057987e-08,4.999999907364379048e+00,3.137282227798452450e+00,1.868893565673608981e+00
2.980000000000002092e-01,5.012999832847644434e-08,4.999999907373779529e+00,3.137282227783076305e+00,1.868893565673704682e+00
3.000000000000002109e-01,5.012999832853229558e-08,4.999999907383180897e+00,3.137282227795723966e+00,1.868893565673901636e+00
3.020000000000002127e-01,5.012999832858812034e-08,4.999999907392580489e+00,3.137282227801124090e+00,1.868893565673987567e+00
3.040000000000002145e-01,5.012999832864397820e-08,4.999999907401979193e+00,3.137282227806580615e+00,1.868893565674064838e+00
3.060000000000002163e-01,5.012999832869984267e-08,4.999999907411380562e+00,3.137282227830283876e+00,1.868893565674402790e+00
3.080000000000002180e-01,5.012999832875567405e-08,4.999999907420779266e+00,3.137282227854839789e+00,1.868893565674405233e+00
3.100000000000002198e-01,5.012999832881152528e-08,4.999999907430178858e+00,3.137282227834717663e+00,1.868893565674474289e+00
3.120000000000002216e-01,5.012999832886736328e-08,4.999999907439580227e+00,3.137282227828891212e+00,1.868893565674396129e+00
3.140000000000002234e-01,5.012999832892322775e-08,4.999999907448978931e+00,3.137282227855578753e+00,1.868893565674767165e+00
