time,v(v_in),v(out)
3.421500000000167734e-05,2.300000000000000266e+00,2.738209831785646999e-03
3.422000000000167475e-05,2.300000000000000266e+00,2.667902564610732507e-03
3.422500000000167216e-05,2.300000000000000266e+00,2.599375164624151240e-03
3.423000000000166957e-05,2.300000000000000266e+00,2.532583896403109436e-03
3.423500000000166698e-05,2.300000000000000266e+00,2.467486029398103815e-03
3.424000000000166439e-05,2.300000000000000266e+00,2.404039818672939078e-03
3.424500000000166181e-05,2.300000000000000266e+00,2.342204485570816268e-03
3.425000000000165922e-05,2.300000000000000266e+00,2.281940198707120733e-03
3.425500000000165663e-05,2.300000000000000266e+00,2.223208055386063746e-03
3.426000000000165404e-05,2.300000000000000266e+00,2.165970062999880621e-03
3.426500000000165145e-05,2.300000000000000266e+00,2.110189120475215903e-03
3.427000000000164886e-05,2.300000000000000266e+00,2.055829000136006994e-03
3.427500000000164627e-05,2.300000000000000266e+00,2.002854329801401125e-03
3.428000000000164368e-05,2.300000000000000266e+00,1.951230575092780450e-03
3.428500000000164109e-05,2.300000000000000266e+00,1.900924021808797623e-03
3.429000000000163851e-05,2.300000000000000266e+00,1.851901758336056908e-03
3.429500000000163592e-05,2.300000000000000266e+00,1.804131658679459117e-03
3.430000000000163333e-05,2.300000000000000266e+00,1.757582365965599776e-03
3.430500000000163074e-05,2.300000000000000266e+00,1.712223275805114554e-03
3.431000000000162815e-05,2.300000000000000266e+00,1.668024519945768671e-03
3.431500000000162556e-05,2.300000000000000266e+00,1.624956950301989543e-03
3.432000000000162297e-05,2.300000000000000266e+00,1.582992122960203731e-03
3.432500000000162038e-05,2.300000000000000266e+00,1.542102282625553008e-03
3.433000000000161779e-05,2.300000000000000266e+00,1.502260347660096295e-03
3.433500000000161520e-05,2.300000000000000266e+00,1.463439894962119793e-03
3.434000000000161262e-05,2.300000000000000266e+00,1.425615144961643902e-03
3.434500000000161003e-05,2.300000000000000266e+00,1.388760947227080144e-03
3.435000000000160744e-05,2.300000000000000266e+00,1.352852766448027315e-03
3.435500000000160485e-05,2.300000000000000266e+00,1.317866668508724725e-03
3.436000000000160226e-05,2.300000000000000266e+00,1.283779306716387614e-03
3.436500000000159967e-05,2.300000000000000266e+00,1.250567908270831330e-03
3.437000000000159708e-05,2.300000000000000266e+00,1.218210260900193763e-03
3.437500000000159449e-05,2.300000000000000266e+00,1.186684699885037862e-03
3.438000000000159190e-05,2.300000000000000266e+00,1.155970095577329342e-03
3.438500000000158931e-05,2.300000000000000266e+00,1.126045841133710423e-03
3.439000000000158673e-05,2.300000000000000266e+00,1.096891840238870246e-03
3.439500000000158414e-05,2.300000000000000266e+00,1.068488494901611695e-03
3.440000000000158155e-05,2.300000000000000266e+00,1.040816693836160581e-03
3.440500000000157896e-05,2.300000000000000266e+00,1.013857801144869798e-03
3.441000000000157637e-05,2.300000000000000266e+00,9.875936449741564826e-04
3.441500000000157378e-05,2.300000000000000266e+00,9.620065064929773924e-04
3.442000000000157119e-05,2.300000000000000266e+00,9.370791093101276314e-04
3.442500000000156860e-05,2.300000000000000266e+00,9.127946089642851148e-04
3.443000000000156601e-05,2.300000000000000266e+00,8.891365823010724924e-04
3.443500000000156343e-05,2.300000000000000266e+00,8.660890173363519802e-04
3.444000000000156084e-05,2.300000000000000266e+00,8.436363036849677281e-04
3.444500000000155825e-05,2.300000000000000266e+00,8.217632229670147372e-04
3.445000000000155566e-05,2.300000000000000266e+00,8.004549391131795047e-04
3.445500000000155307e-05,2.300000000000000266e+00,7.796969889842040712e-04
3.446000000000155048e-05,2.300000000000000266e+00,7.594752734993392941e-04
3.446500000000154789e-05,2.300000000000000266e+00,7.397760490778462110e-04
3.447000000000154530e-05,2.300000000000000266e+00,7.205859188345222887e-04
3.447500000000154271e-05,2.300000000000000266e+00,7.018918238597864415e-04
3.448000000000154012e-05,2.300000000000000266e+00,6.836810352282568374e-04
3.448500000000153754e-05,2.300000000000000266e+00,6.659411459646069099e-04
3.449000000000153495e-05,2.300000000000000266e+00,6.486600628977796630e-04
3.449500000000153236e-05,2.300000000000000266e+00,6.318259989498426887e-04
3.450000000000152977e-05,2.300000000000000266e+00,6.154274658724018417e-04
3.450500000000152718e-05,2.300000000000000266e+00,5.994532668896362677e-04
3.451000000000152459e-05,2.300000000000000266e+00,5.838924892881297872e-04
3.451500000000152200e-05,2.300000000000000266e+00,5.687344975917674791e-04
3.452000000000151941e-05,2.300000000000000266e+00,5.539689267189036072e-04
3.452500000000151682e-05,2.300000000000000266e+00,5.395856750212803862e-04
3.453000000000151423e-05,2.300000000000000266e+00,5.255748978460884988e-04
3.453500000000151165e-05,2.300000000000000266e+00,5.119270012608498430e-04
3.454000000000150906e-05,2.300000000000000266e+00,4.986326357877591837e-04
3.454500000000150647e-05,2.300000000000000266e+00,4.856826902453013212e-04
3.455000000000150388e-05,2.300000000000000266e+00,4.730682859254372891e-04
3.455500000000150129e-05,2.300000000000000266e+00,4.607807708432224672e-04
3.456000000000149870e-05,2.300000000000000266e+00,4.488117137761071991e-04
3.456500000000149611e-05,2.300000000000000266e+00,4.371528987958722061e-04
3.457000000000149352e-05,2.300000000000000266e+00,4.257963201185163715e-04
3.457500000000149093e-05,2.300000000000000266e+00,4.147341767088842776e-04
3.458000000000148834e-05,2.300000000000000266e+00,4.039588671895041764e-04
3.458500000000148576e-05,2.300000000000000266e+00,3.934629848316822638e-04
3.459000000000148317e-05,2.300000000000000266e+00,3.832393124079696732e-04
3.459500000000148058e-05,2.300000000000000266e+00,3.732808175269218412e-04
3.460000000000147799e-05,2.300000000000000266e+00,3.635806481782796707e-04
3.460500000000147540e-05,2.300000000000000266e+00,3.541321280944932951e-04
3.461000000000147281e-05,2.300000000000000266e+00,3.449287522394102901e-04
3.461500000000147022e-05,2.300000000000000266e+00,3.359641826016508247e-04
3.462000000000146763e-05,2.300000000000000266e+00,3.272322439497412673e-04
3.462500000000146504e-05,2.300000000000000266e+00,3.187269194564266018e-04
3.463000000000146246e-05,2.300000000000000266e+00,3.104423467877036628e-04
3.463500000000145987e-05,2.300000000000000266e+00,3.023728144365632996e-04
3.464000000000145728e-05,2.300000000000000266e+00,2.945127578001504047e-04
3.464500000000145469e-05,2.300000000000000266e+00,2.868567552968965791e-04
3.465000000000145210e-05,2.300000000000000266e+00,2.793995249037081719e-04
3.465500000000144951e-05,2.300000000000000266e+00,2.721359206264066066e-04
3.466000000000144692e-05,2.300000000000000266e+00,2.650609288324882584e-04
3.466500000000144433e-05,2.300000000000000266e+00,2.581696648402469164e-04
3.467000000000144174e-05,2.300000000000000266e+00,2.514573698192394289e-04
3.467500000000143915e-05,2.300000000000000266e+00,2.449194077752164431e-04
3.468000000000143657e-05,2.300000000000000266e+00,2.385512622476984785e-04
3.468500000000143398e-05,2.300000000000000266e+00,2.323485329549522028e-04
3.469000000000143139e-05,2.300000000000000266e+00,2.263069331197652243e-04
3.469500000000142880e-05,2.300000000000000266e+00,2.204222867669819984e-04
3.470000000000142621e-05,2.300000000000000266e+00,2.146905255334841003e-04
3.470500000000142362e-05,2.300000000000000266e+00,2.091076858696741677e-04
3.471000000000142103e-05,2.300000000000000266e+00,2.036699065674840508e-04
3.471500000000141844e-05,2.300000000000000266e+00,1.983734261495618254e-04
3.472000000000141585e-05,2.300000000000000266e+00,1.932145804188526122e-04
3.472500000000141326e-05,2.300000000000000266e+00,1.881897999085226222e-04
3.473000000000141068e-05,2.300000000000000266e+00,1.832956072090980652e-04
3.473500000000140809e-05,2.300000000000000266e+00,1.785286146135838859e-04
3.474000000000140550e-05,2.300000000000000266e+00,1.738855220985657487e-04
3.474500000000140291e-05,2.300000000000000266e+00,1.693631151591799193e-04
3.475000000000140032e-05,2.300000000000000266e+00,1.649582622722330538e-04
3.475500000000139773e-05,2.300000000000000266e+00,1.606679127823588374e-04
3.476000000000139514e-05,2.300000000000000266e+00,1.564890949448365510e-04
3.476500000000139255e-05,2.300000000000000266e+00,1.524189137981025381e-04
3.477000000000138996e-05,2.300000000000000266e+00,1.484545494318351372e-04
3.477500000000138738e-05,2.300000000000000266e+00,1.445932550714253151e-04
3.478000000000138479e-05,2.300000000000000266e+00,1.408323549839194798e-04
3.478500000000138220e-05,2.300000000000000266e+00,1.371692426054043539e-04
3.479000000000137961e-05,2.300000000000000266e+00,1.336013787571253646e-04
3.479500000000137702e-05,2.300000000000000266e+00,1.301262900790801892e-04
3.480000000000137443e-05,2.300000000000000266e+00,1.267415673841340454e-04
3.480500000000137184e-05,2.300000000000000266e+00,1.234448638074482380e-04
3.481000000000136925e-05,2.300000000000000266e+00,1.202338931924431837e-04
3.481500000000136666e-05,2.300000000000000266e+00,1.171064286088802667e-04
3.482000000000136407e-05,2.300000000000000266e+00,1.140603008762823057e-04
3.482500000000136149e-05,2.300000000000000266e+00,1.110933970517455826e-04
3.483000000000135890e-05,2.300000000000000266e+00,1.082036589796953361e-04
3.483500000000135631e-05,2.300000000000000266e+00,1.053890818560468059e-04
3.484000000000135372e-05,2.300000000000000266e+00,1.026477128810603302e-04
3.484500000000135113e-05,2.300000000000000266e+00,9.997764994780376964e-05
3.485000000000134854e-05,2.300000000000000266e+00,9.737704014751259263e-05
3.485500000000134595e-05,2.300000000000000266e+00,9.484407854542256872e-05
3.486000000000134336e-05,2.300000000000000266e+00,9.237700716578443178e-05
3.486500000000134077e-05,2.300000000000000266e+00,8.997411362414378807e-05
3.487000000000133818e-05,2.300000000000000266e+00,8.763372987388337013e-05
3.487500000000133560e-05,2.300000000000000266e+00,8.535423122565179458e-05
3.488000000000133301e-05,2.300000000000000266e+00,8.313403514169405970e-05
3.488500000000133042e-05,2.300000000000000266e+00,8.097160006813796870e-05
3.489000000000132783e-05,2.300000000000000266e+00,7.886542443035785487e-05
3.489500000000132524e-05,2.300000000000000266e+00,7.681404559451251350e-05
3.490000000000132265e-05,2.300000000000000266e+00,7.481603899589852073e-05
3.490500000000132006e-05,2.300000000000000266e+00,7.287001717143395106e-05
3.491000000000131747e-05,2.300000000000000266e+00,7.097462864989855099e-05
3.491500000000131488e-05,2.300000000000000266e+00,6.912855697314485752e-05
3.492000000000131229e-05,2.300000000000000266e+00,6.733051978423489406e-05
3.492500000000130971e-05,2.300000000000000266e+00,6.557926802493639574e-05
3.493000000000130712e-05,2.300000000000000266e+00,6.387358515694936071e-05
3.493500000000130453e-05,2.300000000000000266e+00,6.221228621148992626e-05
3.494000000000130194e-05,2.300000000000000266e+00,6.059421695109467899e-05
3.494500000000129935e-05,2.300000000000000266e+00,5.901825316288683641e-05
3.495000000000129676e-05,2.300000000000000266e+00,5.748329982484581667e-05
3.495500000000129417e-05,2.300000000000000266e+00,5.598829029864581258e-05
3.496000000000129158e-05,2.300000000000000266e+00,5.453218567228958782e-05
3.496500000000128899e-05,2.300000000000000266e+00,5.311397413161430588e-05
3.497000000000128641e-05,2.300000000000000266e+00,5.173267013885239477e-05
3.497500000000128382e-05,2.300000000000000266e+00,5.038731376284398458e-05
3.498000000000128123e-05,2.300000000000000266e+00,4.907696994682014347e-05
3.498500000000127864e-05,2.300000000000000266e+00,4.780072785164134024e-05
3.499000000000127605e-05,2.300000000000000266e+00,4.655770042786548955e-05
3.499500000000127346e-05,2.300000000000000266e+00,4.534702365634694633e-05
3.500000000000127087e-05,2.300000000000000266e+00,4.416785590525115952e-05
3.500500000000126828e-05,2.300000000000000266e+00,4.301937749856352556e-05
3.501000000000126569e-05,2.300000000000000266e+00,4.190079010754387326e-05
3.501500000000126310e-05,2.300000000000000266e+00,4.081131606708717494e-05
3.502000000000126052e-05,2.300000000000000266e+00,3.975019785055868747e-05
3.502500000000125793e-05,2.300000000000000266e+00,3.871669769570812593e-05
3.503000000000125534e-05,2.300000000000000266e+00,3.771009715345395222e-05
3.503500000000125275e-05,2.300000000000000266e+00,3.672969648129138895e-05
3.504000000000125016e-05,2.300000000000000266e+00,3.577481409919169169e-05
3.504500000000124757e-05,2.300000000000000266e+00,3.484478602372737547e-05
