time,v(v_in),v(out),v(c1),v(c2)
2.512008981599892984e-03,2.349233843735003102e+00,3.455592391382291545e-02,4.996548689218003325e+00,3.142207889978175128e+00
2.513008981599893117e-03,2.336706287314365138e+00,-3.196741775004133257e-02,4.993965365754142738e+00,3.140079614775385330e+00
2.514008981599893250e-03,2.324185177449889839e+00,2.979838740013353998e-02,4.999717308500980728e+00,3.138777163938680559e+00
2.515008981599893383e-03,2.311671008453572540e+00,-2.762490311500147636e-02,4.996587768145149155e+00,3.137968658639008090e+00
2.516008981599893515e-03,2.299164274363366900e+00,2.571814637236805728e-02,5.000715746404713613e+00,3.137480026045609716e+00
2.517008981599893648e-03,2.286665468923727129e+00,-2.386615886767191191e-02,4.997780764796179831e+00,3.137174210971262145e+00
2.518008981599893781e-03,2.274175085566083609e+00,2.220547763779396819e-02,5.000920254428226741e+00,3.136995302910237982e+00
2.519008981599893914e-03,2.261693617389391342e+00,-2.061683626241534936e-02,4.998399614632800692e+00,3.136880348527876894e+00
2.520008981599894046e-03,2.249221557140634875e+00,1.917649714258726559e-02,5.000850029007428255e+00,3.136819528572001303e+00
2.521008981599894179e-03,2.236759397195397625e+00,-1.780957386275779444e-02,4.998774389195682843e+00,3.136776713410184492e+00
2.522008981599894312e-03,2.224307629538426312e+00,1.656273485869303591e-02,5.000698434921958757e+00,3.136760975072796054e+00
2.523008981599894444e-03,2.211866745744176299e+00,-1.538488449588329768e-02,4.999034368022955199e+00,3.136744621123011001e+00
2.524008981599894577e-03,2.199437236957444419e+00,1.430653410079407196e-02,5.000535609851380237e+00,3.136746191149556662e+00
2.525008981599894710e-03,2.187019593873948065e+00,-1.329086840505799144e-02,4.999231937820111327e+00,3.136739156890382851e+00
2.526008981599894843e-03,2.174614306720981105e+00,1.235866399059506494e-02,5.000385369856460649e+00,3.136747616182752552e+00
2.527008981599894975e-03,2.162221865238028062e+00,-1.148250023851573112e-02,4.999389792147014511e+00,3.136743418197308841e+00
2.528008981599895108e-03,2.149842758657476871e+00,1.067683229394417871e-02,5.000254332128250212e+00,3.136754808348077628e+00
2.529008981599895241e-03,2.137477475685238382e+00,-9.920820044510810301e-03,4.999518934330934528e+00,3.136751030977831700e+00
2.530008981599895374e-03,2.125126504481528844e+00,9.224611498066579915e-03,5.000142915887243689e+00,3.136763828456286873e+00
2.531008981599895506e-03,2.112790332641532487e+00,-8.572156550632200472e-03,4.999625577914618368e+00,3.136759615892990904e+00
2.532008981599895639e-03,2.100469447176194659e+00,7.970589189049021375e-03,5.000049474968492724e+00,3.136773208968290483e+00
2.533008981599895772e-03,2.088164334492979890e+00,-7.407425281722773182e-03,4.999713820256345365e+00,3.136768306017991836e+00
2.534008981599895904e-03,2.075875480376656590e+00,6.887663545741265145e-03,4.999971829760328390e+00,3.136782421046481861e+00
2.535008981599896037e-03,2.063603369970157253e+00,-6.401510150147136924e-03,4.999786702655068638e+00,3.136776804024467680e+00
2.536008981599896170e-03,2.051348487755377814e+00,5.952446126780409213e-03,4.999907815702501424e+00,3.136791290922209541e+00
2.537008981599896303e-03,2.039111317534090695e+00,-5.532724575954858608e-03,4.999846649916573682e+00,3.136785024267621846e+00
2.538008981599896435e-03,2.026892342408815662e+00,5.144750610930310698e-03,4.999855462502650560e+00,3.136799777860753924e+00
2.539008981599896568e-03,2.014692044763775947e+00,-4.782344238080180575e-03,4.999895669030646417e+00,3.136792957295532869e+00
2.540008981599896701e-03,2.002510906245825062e+00,4.447153167181416844e-03,4.999813036502356312e+00,3.136807889566778584e+00
2.541008981599896834e-03,1.990349407745461541e+00,-4.134202861262717410e-03,4.999935450647581270e+00,3.136800619067020346e+00
2.542008981599896966e-03,1.978208029377811705e+00,3.844613742342626803e-03,4.999779034647772846e+00,3.136815650043156989e+00
2.543008981599897099e-03,1.966087250463714575e+00,-3.574342899778201917e-03,4.999967430664313817e+00,3.136808032067682550e+00
2.544008981599897232e-03,1.953987549510767252e+00,3.324149467470766291e-03,4.999752162374154096e+00,3.136823087531968923e+00
2.545008981599897364e-03,1.941909404194439137e+00,-3.090713785329332521e-03,4.999992832548637800e+00,3.136815218865113497e+00
2.546008981599897497e-03,1.929853291339232335e+00,2.874552956312237135e-03,4.999731308802663143e+00,3.136830230163059952e+00
2.547008981599897630e-03,1.917819686899829401e+00,-2.672911369947393936e-03,5.000012700060826987e+00,3.136822200032569175e+00
2.548008981599897763e-03,1.905809065942341896e+00,2.486149242996843998e-03,4.999715522558627612e+00,3.136837104398183751e+00
2.549008981599897895e-03,1.893821902625513198e+00,-2.311952930453039200e-03,5.000027923784970518e+00,3.136828993608498095e+00
